presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,講演論文集のページ番号,発表番号,主要な業績かどうか,公開の有無
insert,merge,null,54639015,null,Study on Smart Composite Materials of Shape Memory Polymer and Continuous Carbon Fiber in 5-Axis Additive Manufacturing,null,"[Koki Jimbo,Toshitake Tateno]",null,The 12th Pacific Rim International Conference on Advanced Materials and Processing (PRICM12),2026-08-11,2026-08-09,2026-08-13,false,eng,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,,,true,disclosed
insert,merge,null,52563192,協調生産システムのための移動型積層造形法に関する研究 ―インチワーム型ロボットを使用した移動と造形―,Study on mobile additive manufacturing for a cooperative manufacturing system ―Fabrication and locomotion using an inchworm robot―,"[神保康紀,舘野寿丈]","[Koki Jimbo,Toshitake Tateno]",生産システム部門研究発表講演会2026,null,2026-03-03,null,null,null,null,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,true,disclosed
insert,merge,null,51834556,null,Toolpath planning method for suppressing fiber damage during fabrication process in material extrusion using continuous CFRP,null,"[Akira Mizuno,Koki Jimbo,Shinya Morita]",null,The 11th International Conference on Leading Edge Manufacturing in 21st Century (LEM21),2025-12-04,null,null,null,eng,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,false,disclosed
insert,merge,null,51834571,null,Evaluation of continuous carbon fiber damage by electrical property measurements in multi-axis additive manufacturing,null,"[Koki Jimbo,Akira Mizuno,Shinya Morita,Toshitake Tateno]",null,The 11th International Conference on Leading Edge Manufacturing in 21st Century (LEM21),2025-12-02,null,null,null,null,poster_presentation,null,null,null,null,null,null,null,null,null,null,null,,,false,disclosed
insert,merge,null,51127553,補装具製作におけるAM活用,null,[神保康紀],null,日本機械学会 2025年度年次大会，特別行事：先端技術フォーラム，アディティブマニュファクチャリング（3Dプリンター）で拓くスポーツ工学,null,2025-09-09,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,true,disclosed
insert,merge,null,51127533,null,Simulation of inchworm robot locomotion via center of gravity control for mobile additive manufacturing,null,"[Koki Jimbo,Toshitake Tateno]",null,The 44th International Conference on Simulation Technology,2025-09,null,null,null,eng,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,false,disclosed
insert,merge,null,50966865,null,Design and Fabrication of Foldable Structure using Metal Wire in Material Extrusion Methods,null,"[Koki JIMBO,Shinya MORITA]",null,"The 6th International Conference on Design Engineering and Science, ICDES 2025",2025-08,2025-08-19,2025-08-22,null,eng,oral_presentation,null,null,null,Alexandria,EGY,null,null,true,null,null,null,,,true,disclosed
insert,merge,null,50611077,null,DEVELOPMENT AND LOCOMOTION EXPERIMENT OF INCHWORM ROBOT FOR MOBILE ADDITIVE MANUFACTURING,null,[Koki Jimbo],null,21st International Conference on EXPERIMENTAL MECHANICS (21st ICEM),2025-07-10,2025-07-07,2025-07-11,null,eng,oral_presentation,null,null,null,Bologna,ITA,null,null,true,null,null,null,,,false,disclosed
insert,merge,null,49643043,材料押出法で一体製作したワイヤ駆動ソフトロボットの変形挙動に関する研究,Title Study on Deformation of a Wire-driven Soft Robot Integrally Fabricated with Material Extrusion,"[神保康紀,森田晋也]","[Koki Jimbo,Shinya Morita]",生産システム部門研究発表講演会2025,null,2025-03,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,true,disclosed
insert,merge,null,49643025,連続繊維のCFRP を使用した材料押出法におけるノズル角度が造形物の強度に及ぼす影響,Effect of Nozzle Angle on Strength of Fabricated Object in Material Extrusion using Continuous CFRP,"[水野明希良,神保康紀,森田晋也]","[Akira Mizuno,Koki Jimbo,Shinya Morita]",生産システム部門研究発表講演会2025,null,2025-03,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,,,false,disclosed
